Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	1.0724	1.0000	0.6198	1.0000
0	1.0724	1.2282	0.6198	0.5947
1	0.6960	1.2282	0.7489	0.5947
1	0.6960	1.3190	0.7489	0.5772
2	0.6481	1.3190	0.7682	0.5772
2	0.6481	0.5898	0.7682	0.8105
3	0.5564	0.5898	0.8068	0.8105
3	0.5564	0.5643	0.8068	0.8053
4	0.5613	0.5643	0.8047	0.8053
4	0.5613	0.7137	0.8047	0.7474
5	0.4754	0.7137	0.8349	0.7474
5	0.4754	0.4901	0.8349	0.8333
6	0.3417	0.4901	0.8815	0.8333
6	0.3417	0.9119	0.8815	0.7281
7	0.3703	0.9119	0.8670	0.7281
7	0.3703	0.5562	0.8670	0.7789
8	0.3327	0.5562	0.8780	0.7789
8	0.3327	0.4116	0.8780	0.8614
9	0.2942	0.4116	0.8929	0.8614
9	0.2942	0.3437	0.8929	0.8772
10	0.2605	0.3437	0.9096	0.8772
10	0.2605	0.3339	0.9096	0.8930
11	0.2899	0.3339	0.8929	0.8930
11	0.2899	0.3489	0.8929	0.8842
12	0.2091	0.3489	0.9205	0.8842
12	0.2091	0.3069	0.9205	0.9018
13	0.1984	0.3069	0.9306	0.9018
13	0.1984	0.3044	0.9306	0.9035
14	0.1762	0.3044	0.9311	0.9035
14	0.1762	0.2412	0.9311	0.9105
15	0.1523	0.2412	0.9513	0.9105
15	0.1523	0.2584	0.9513	0.9246
16	0.1437	0.2584	0.9508	0.9246
16	0.1437	0.2405	0.9508	0.9193
17	0.1267	0.2405	0.9570	0.9193
17	0.1267	0.2409	0.9570	0.9228
18	0.1051	0.2409	0.9644	0.9228
18	0.1051	0.2490	0.9644	0.9281
19	0.0921	0.2490	0.9688	0.9281
19	0.0921	0.2322	0.9688	0.9246
20	0.0836	0.2322	0.9710	0.9246
20	0.0836	0.3076	0.9710	0.9123
21	0.0725	0.3076	0.9723	0.9123
21	0.0725	0.2553	0.9723	0.9175
22	0.0553	0.2553	0.9811	0.9175
22	0.0553	0.2385	0.9811	0.9246
23	0.0608	0.2385	0.9754	0.9246
23	0.0608	0.2269	0.9754	0.9298
24	0.0651	0.2269	0.9781	0.9298
24	0.0651	0.2487	0.9781	0.9281

学习率：0.002
训练完成时间: 11m 6s
最佳验证精度: 0.929825
