Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.7071	1.0000	0.7502	1.0000
0	0.7071	0.5725	0.7502	0.7860
1	0.4151	0.5725	0.8560	0.7860
1	0.4151	0.5041	0.8560	0.8070
2	0.4247	0.5041	0.8499	0.8070
2	0.4247	0.6487	0.8499	0.7789
3	0.3537	0.6487	0.8727	0.7789
3	0.3537	0.7727	0.8727	0.7632
4	0.3055	0.7727	0.8903	0.7632
4	0.3055	0.3679	0.8903	0.8667
5	0.2698	0.3679	0.9069	0.8667
5	0.2698	0.4050	0.9069	0.8667
6	0.2894	0.4050	0.8973	0.8667
6	0.2894	0.3767	0.8973	0.8632
7	0.2108	0.3767	0.9219	0.8632
7	0.2108	0.4018	0.9219	0.8649
8	0.1933	0.4018	0.9302	0.8649
8	0.1933	0.2810	0.9302	0.8965
9	0.1925	0.2810	0.9324	0.8965
9	0.1925	0.2833	0.9324	0.8895
10	0.1921	0.2833	0.9368	0.8895
10	0.1921	0.2320	0.9368	0.9246
11	0.1148	0.2320	0.9579	0.9246
11	0.1148	0.5216	0.9579	0.8526
12	0.1223	0.5216	0.9614	0.8526
12	0.1223	0.2520	0.9614	0.9158
13	0.0915	0.2520	0.9675	0.9158
13	0.0915	0.2163	0.9675	0.9368
14	0.0663	0.2163	0.9759	0.9368
14	0.0663	0.2281	0.9759	0.9316
15	0.0781	0.2281	0.9798	0.9316
15	0.0781	0.1846	0.9798	0.9456
16	0.0556	0.1846	0.9807	0.9456
16	0.0556	0.2174	0.9807	0.9298
17	0.0651	0.2174	0.9794	0.9298
17	0.0651	0.2273	0.9794	0.9421
18	0.0471	0.2273	0.9851	0.9421
18	0.0471	0.2395	0.9851	0.9404
19	0.0297	0.2395	0.9899	0.9404
19	0.0297	0.1852	0.9899	0.9456
20	0.0370	0.1852	0.9873	0.9456
20	0.0370	0.2151	0.9873	0.9333
21	0.0335	0.2151	0.9899	0.9333
21	0.0335	0.2082	0.9899	0.9439
22	0.0229	0.2082	0.9921	0.9439
22	0.0229	0.1835	0.9921	0.9368
23	0.0250	0.1835	0.9921	0.9368
23	0.0250	0.2109	0.9921	0.9368
24	0.0229	0.2109	0.9939	0.9368
24	0.0229	0.2024	0.9939	0.9421
学习率0.001
训练完成时间: 11m 12s
最佳验证精度: 0.945614
