Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.6230	1.0000	0.7805	1.0000
0	0.6230	0.6660	0.7805	0.8228
1	0.4294	0.6660	0.8565	0.8228
1	0.4294	0.6157	0.8565	0.8053
2	0.3095	0.6157	0.8911	0.8053
2	0.3095	0.4474	0.8911	0.8491
3	0.2882	0.4474	0.9069	0.8491
3	0.2882	0.3247	0.9069	0.8825
4	0.2756	0.3247	0.9039	0.8825
4	0.2756	0.5100	0.9039	0.8404
5	0.3273	0.5100	0.8815	0.8404
5	0.3273	0.3334	0.8815	0.8807
6	0.2178	0.3334	0.9201	0.8807
6	0.2178	0.3654	0.9201	0.8754
7	0.1540	0.3654	0.9473	0.8754
7	0.1540	0.2316	0.9473	0.9281
8	0.1471	0.2316	0.9504	0.9281
8	0.1471	0.3903	0.9504	0.8877
9	0.1402	0.3903	0.9482	0.8877
9	0.1402	0.3745	0.9482	0.8930
10	0.1773	0.3745	0.9425	0.8930
10	0.1773	0.2906	0.9425	0.9088
11	0.1169	0.2906	0.9614	0.9088
11	0.1169	0.2071	0.9614	0.9368
12	0.0916	0.2071	0.9710	0.9368
12	0.0916	0.1923	0.9710	0.9404
13	0.0771	0.1923	0.9745	0.9404
13	0.0771	0.2405	0.9745	0.9175
14	0.0714	0.2405	0.9772	0.9175
14	0.0714	0.2335	0.9772	0.9228
15	0.0378	0.2335	0.9873	0.9228
15	0.0378	0.2768	0.9873	0.9404
16	0.0286	0.2768	0.9912	0.9404
16	0.0286	0.2316	0.9912	0.9456
17	0.0285	0.2316	0.9921	0.9456
17	0.0285	0.2503	0.9921	0.9298
18	0.0229	0.2503	0.9925	0.9298
18	0.0229	0.2468	0.9925	0.9368
19	0.0225	0.2468	0.9934	0.9368
19	0.0225	0.2174	0.9934	0.9491
20	0.0150	0.2174	0.9952	0.9491
20	0.0150	0.1994	0.9952	0.9474
21	0.0189	0.1994	0.9939	0.9474
21	0.0189	0.2105	0.9939	0.9386
22	0.0161	0.2105	0.9956	0.9386
22	0.0161	0.2094	0.9956	0.9544
23	0.0142	0.2094	0.9956	0.9544
23	0.0142	0.2097	0.9956	0.9491
24	0.0159	0.2097	0.9956	0.9491
24	0.0159	0.2277	0.9956	0.9368
学习率：0.0008
训练完成时间: 10m 51s
最佳验证精度: 0.954386
