Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.8108	1.0000	0.7239	1.0000
0	0.8108	0.6398	0.7239	0.7877
1	0.4913	0.6398	0.8222	0.7877
1	0.4913	0.6096	0.8222	0.8088
2	0.4499	0.6096	0.8446	0.8088
2	0.4499	0.5713	0.8446	0.8088
3	0.3905	0.5713	0.8617	0.8088
3	0.3905	0.4346	0.8617	0.8386
4	0.3379	0.4346	0.8837	0.8386
4	0.3379	0.4172	0.8837	0.8702
5	0.3035	0.4172	0.8881	0.8702
5	0.3035	0.4598	0.8881	0.8491
6	0.2548	0.4598	0.9083	0.8491
6	0.2548	0.4195	0.9083	0.8544
7	0.2292	0.4195	0.9179	0.8544
7	0.2292	0.2929	0.9179	0.9035
8	0.2239	0.2929	0.9263	0.9035
8	0.2239	0.3665	0.9263	0.8860
9	0.2571	0.3665	0.9074	0.8860
9	0.2571	0.4404	0.9074	0.8596
10	0.1590	0.4404	0.9464	0.8596
10	0.1590	0.2897	0.9464	0.9105
11	0.2067	0.2897	0.9333	0.9105
11	0.2067	0.2817	0.9333	0.9070
12	0.1901	0.2817	0.9346	0.9070
12	0.1901	0.2008	0.9346	0.9333
13	0.1182	0.2008	0.9574	0.9333
13	0.1182	0.2342	0.9574	0.9246
14	0.0885	0.2342	0.9627	0.9246
14	0.0885	0.2453	0.9627	0.9246
15	0.0772	0.2453	0.9759	0.9246
15	0.0772	0.2537	0.9759	0.9333
16	0.0682	0.2537	0.9772	0.9333
16	0.0682	0.2612	0.9772	0.9246
17	0.0716	0.2612	0.9776	0.9246
17	0.0716	0.2457	0.9776	0.9298
18	0.0401	0.2457	0.9868	0.9298
18	0.0401	0.1934	0.9868	0.9404
19	0.0586	0.1934	0.9820	0.9404
19	0.0586	0.2142	0.9820	0.9404
20	0.0370	0.2142	0.9877	0.9404
20	0.0370	0.1973	0.9877	0.9386
21	0.0303	0.1973	0.9908	0.9386
21	0.0303	0.1965	0.9908	0.9456
22	0.0243	0.1965	0.9947	0.9456
22	0.0243	0.2060	0.9947	0.9351
23	0.0191	0.2060	0.9956	0.9351
23	0.0191	0.1973	0.9956	0.9456
24	0.0312	0.1973	0.9912	0.9456
24	0.0312	0.2273	0.9912	0.9386
学习率：0.0012
训练完成时间: 10m 41s
最佳验证精度: 0.945614
