Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.6140	1.0000	0.7603	1.0000
0	0.6140	0.2779	0.7603	0.8825
1	0.2188	0.2779	0.9219	0.8825
1	0.2188	0.2820	0.9219	0.8895
2	0.1701	0.2820	0.9447	0.8895
2	0.1701	0.2166	0.9447	0.9316
3	0.1345	0.2166	0.9557	0.9316
3	0.1345	0.2202	0.9557	0.9298
4	0.0983	0.2202	0.9706	0.9298
4	0.0983	0.2015	0.9706	0.9246
5	0.0679	0.2015	0.9785	0.9246
5	0.0679	0.2181	0.9785	0.9228
6	0.0776	0.2181	0.9750	0.9228
6	0.0776	0.2415	0.9750	0.9263
7	0.0712	0.2415	0.9767	0.9263
7	0.0712	0.2134	0.9767	0.9333
8	0.0445	0.2134	0.9873	0.9333
8	0.0445	0.2007	0.9873	0.9421
9	0.0470	0.2007	0.9860	0.9421
9	0.0470	0.1920	0.9860	0.9474
10	0.0539	0.1920	0.9864	0.9474
10	0.0539	0.2283	0.9864	0.9439
11	0.0413	0.2283	0.9881	0.9439
11	0.0413	0.2126	0.9881	0.9456
12	0.0340	0.2126	0.9903	0.9456
12	0.0340	0.1934	0.9903	0.9456
13	0.0312	0.1934	0.9934	0.9456
13	0.0312	0.2026	0.9934	0.9509
14	0.0227	0.2026	0.9947	0.9509
14	0.0227	0.2133	0.9947	0.9404
15	0.0328	0.2133	0.9899	0.9404
15	0.0328	0.1957	0.9899	0.9456
16	0.0276	0.1957	0.9939	0.9456
16	0.0276	0.2099	0.9939	0.9386
17	0.0162	0.2099	0.9952	0.9386
17	0.0162	0.2053	0.9952	0.9439
18	0.0215	0.2053	0.9943	0.9439
18	0.0215	0.2046	0.9943	0.9474
19	0.0211	0.2046	0.9930	0.9474
19	0.0211	0.2178	0.9930	0.9421
20	0.0167	0.2178	0.9965	0.9421
20	0.0167	0.1958	0.9965	0.9456
21	0.0232	0.1958	0.9947	0.9456
21	0.0232	0.1850	0.9947	0.9456
22	0.0227	0.1850	0.9943	0.9456
22	0.0227	0.2056	0.9943	0.9456
23	0.0234	0.2056	0.9952	0.9456
23	0.0234	0.2171	0.9952	0.9386
24	0.0195	0.2171	0.9965	0.9386
24	0.0195	0.1974	0.9965	0.9509
初始学习率：0.002
训练完成时间: 10m 39s
最佳验证精度: 0.950877
