Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.7457	1.0000	0.7379	1.0000
0	0.7457	0.2891	0.7379	0.9053
1	0.2622	0.2891	0.9166	0.9053
1	0.2622	0.2683	0.9166	0.9175
2	0.1950	0.2683	0.9403	0.9175
2	0.1950	0.2000	0.9403	0.9333
3	0.1553	0.2000	0.9517	0.9333
3	0.1553	0.2004	0.9517	0.9439
4	0.1302	0.2004	0.9583	0.9439
4	0.1302	0.2048	0.9583	0.9351
5	0.1099	0.2048	0.9640	0.9351
5	0.1099	0.1713	0.9640	0.9404
6	0.0928	0.1713	0.9719	0.9404
6	0.0928	0.1767	0.9719	0.9316
7	0.0822	0.1767	0.9750	0.9316
7	0.0822	0.1726	0.9750	0.9421
8	0.0641	0.1726	0.9860	0.9421
8	0.0641	0.1766	0.9860	0.9456
9	0.0724	0.1766	0.9776	0.9456
9	0.0724	0.1770	0.9776	0.9439
10	0.0708	0.1770	0.9802	0.9439
10	0.0708	0.1858	0.9802	0.9421
11	0.0564	0.1858	0.9838	0.9421
11	0.0564	0.1723	0.9838	0.9456
12	0.0564	0.1723	0.9851	0.9456
12	0.0564	0.1574	0.9851	0.9544
13	0.0520	0.1574	0.9846	0.9544
13	0.0520	0.1726	0.9846	0.9491
14	0.0446	0.1726	0.9855	0.9491
14	0.0446	0.1936	0.9855	0.9368
15	0.0425	0.1936	0.9868	0.9368
15	0.0425	0.1675	0.9868	0.9491
16	0.0479	0.1675	0.9864	0.9491
16	0.0479	0.1843	0.9864	0.9404
17	0.0378	0.1843	0.9886	0.9404
17	0.0378	0.1781	0.9886	0.9491
18	0.0411	0.1781	0.9890	0.9491
18	0.0411	0.1873	0.9890	0.9474
19	0.0337	0.1873	0.9917	0.9474
19	0.0337	0.1794	0.9917	0.9526
20	0.0332	0.1794	0.9921	0.9526
20	0.0332	0.1774	0.9921	0.9404
21	0.0343	0.1774	0.9903	0.9404
21	0.0343	0.1623	0.9903	0.9491
22	0.0399	0.1623	0.9860	0.9491
22	0.0399	0.1819	0.9860	0.9491
23	0.0368	0.1819	0.9908	0.9491
23	0.0368	0.1522	0.9908	0.9474
24	0.0342	0.1522	0.9899	0.9474
24	0.0342	0.1928	0.9899	0.9439
初始学习率：0.0012
训练完成时间: 10m 60s
最佳验证精度: 0.954386
