Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.8136	1.0000	0.7138	1.0000
0	0.8136	0.3175	0.7138	0.8895
1	0.2916	0.3175	0.9118	0.8895
1	0.2916	0.2330	0.9118	0.9211
2	0.2319	0.2330	0.9241	0.9211
2	0.2319	0.1963	0.9241	0.9246
3	0.1811	0.1963	0.9425	0.9246
3	0.1811	0.1821	0.9425	0.9333
4	0.1575	0.1821	0.9513	0.9333
4	0.1575	0.1937	0.9513	0.9333
5	0.1253	0.1937	0.9570	0.9333
5	0.1253	0.1621	0.9570	0.9421
6	0.1133	0.1621	0.9666	0.9421
6	0.1133	0.1570	0.9666	0.9386
7	0.0919	0.1570	0.9745	0.9386
7	0.0919	0.1542	0.9745	0.9456
8	0.1066	0.1542	0.9666	0.9456
8	0.1066	0.1763	0.9666	0.9298
9	0.0783	0.1763	0.9802	0.9298
9	0.0783	0.1392	0.9802	0.9509
10	0.0812	0.1392	0.9737	0.9509
10	0.0812	0.1531	0.9737	0.9474
11	0.0660	0.1531	0.9811	0.9474
11	0.0660	0.1467	0.9811	0.9421
12	0.0711	0.1467	0.9802	0.9421
12	0.0711	0.1389	0.9802	0.9509
13	0.0588	0.1389	0.9842	0.9509
13	0.0588	0.1279	0.9842	0.9509
14	0.0666	0.1279	0.9811	0.9509
14	0.0666	0.1473	0.9811	0.9526
15	0.0552	0.1473	0.9833	0.9526
15	0.0552	0.1441	0.9833	0.9439
16	0.0483	0.1441	0.9881	0.9439
16	0.0483	0.1529	0.9881	0.9456
17	0.0540	0.1529	0.9890	0.9456
17	0.0540	0.1436	0.9890	0.9509
18	0.0479	0.1436	0.9873	0.9509
18	0.0479	0.1320	0.9873	0.9561
19	0.0493	0.1320	0.9868	0.9561
19	0.0493	0.1532	0.9868	0.9421
20	0.0434	0.1532	0.9886	0.9421
20	0.0434	0.1446	0.9886	0.9491
21	0.0441	0.1446	0.9921	0.9491
21	0.0441	0.1518	0.9921	0.9526
22	0.0380	0.1518	0.9930	0.9526
22	0.0380	0.1297	0.9930	0.9526
23	0.0474	0.1297	0.9886	0.9526
23	0.0474	0.1388	0.9886	0.9544
24	0.0516	0.1388	0.9851	0.9544
24	0.0516	0.1378	0.9851	0.9439
训练完成时间: 11m 3s
最佳验证精度: 0.956140
初始学习率0.001
