Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.8694	1.0000	0.6980	1.0000
0	0.8694	0.3866	0.6980	0.8754
1	0.3129	0.3866	0.9109	0.8754
1	0.3129	0.2765	0.9109	0.9070
2	0.2399	0.2765	0.9236	0.9070
2	0.2399	0.2400	0.9236	0.9281
3	0.1906	0.2400	0.9390	0.9281
3	0.1906	0.2393	0.9390	0.9246
4	0.1608	0.2393	0.9491	0.9246
4	0.1608	0.2095	0.9491	0.9263
5	0.1421	0.2095	0.9535	0.9263
5	0.1421	0.2054	0.9535	0.9281
6	0.1249	0.2054	0.9609	0.9281
6	0.1249	0.2104	0.9609	0.9316
7	0.1158	0.2104	0.9614	0.9316
7	0.1158	0.1957	0.9614	0.9386
8	0.0991	0.1957	0.9693	0.9386
8	0.0991	0.1955	0.9693	0.9351
9	0.0949	0.1955	0.9680	0.9351
9	0.0949	0.1869	0.9680	0.9351
10	0.0867	0.1869	0.9767	0.9351
10	0.0867	0.1942	0.9767	0.9281
11	0.0788	0.1942	0.9794	0.9281
11	0.0788	0.1723	0.9794	0.9439
12	0.0709	0.1723	0.9802	0.9439
12	0.0709	0.1956	0.9802	0.9368
13	0.0729	0.1956	0.9767	0.9368
13	0.0729	0.2017	0.9767	0.9298
14	0.0728	0.2017	0.9807	0.9298
14	0.0728	0.1919	0.9807	0.9351
15	0.0611	0.1919	0.9824	0.9351
15	0.0611	0.1885	0.9824	0.9421
16	0.0639	0.1885	0.9829	0.9421
16	0.0639	0.1944	0.9829	0.9439
17	0.0565	0.1944	0.9829	0.9439
17	0.0565	0.2001	0.9829	0.9386
18	0.0593	0.2001	0.9838	0.9386
18	0.0593	0.1891	0.9838	0.9456
19	0.0624	0.1891	0.9811	0.9456
19	0.0624	0.1918	0.9811	0.9421
20	0.0611	0.1918	0.9802	0.9421
20	0.0611	0.2130	0.9802	0.9333
21	0.0551	0.2130	0.9846	0.9333
21	0.0551	0.2190	0.9846	0.9316
22	0.0570	0.2190	0.9846	0.9316
22	0.0570	0.1941	0.9846	0.9351
23	0.0516	0.1941	0.9846	0.9351
23	0.0516	0.1845	0.9846	0.9386
24	0.0459	0.1845	0.9903	0.9386
24	0.0459	0.1799	0.9903	0.9556
初始学习率：0.0008
训练完成时间: 10m 46s
最佳验证精度: 0.955614
